"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"魔道3157号","男","湖南","507523822","4","","10000","6024","","虚数之树：这两小口的姻缘是我也断不了的"
"一株青莲X","男","广东","336636928","6","星座系列：金牛座","10000","5382","10","大家一定要看清开始游戏下面是星穹列车才真的服务器，其它的都是假的，一定要看清楚"
"罗觅柔","保密","江苏","32619822","6","星座系列：双鱼座","10000","4401","","来点理律舰桥上的糖"
"巡猎-岚-","保密","安徽","589424806","5","","10000","3121","7","“别问预下载了，在河南下载不就是豫下载了吗？”弹幕是想把我笑死吧[笑哭]"
"空梦-帕朵菲利斯","女","山东","198411807","6","崩坏3·天穹流星","10000","2250","","[doge]请大家别忘了这段剧情"
"傲世流云","保密","河北","188726603","6","崩坏：星穹铁道","10000","1947","10","逐火希(*°▽°*)八(*°▽°*)"
"外币_巴伯","保密","山东","277725363","6","咩栗","10000","1683","","急急急急，我辣莫大的预下载呢"
"是雪岚呀","女","山东","8798000","6","碧蓝航线","10000","1476","","我磕爆这个镜头！！"
"葛黄黄OvO","男","辽宁","442295120","6","hanser","10000","912","","看似希尔PV，实则希鸭狂喜[初音未来_大笑]"
"渡边大季","男","山西","44138944","6","崩坏3·天穹流星","10000","585","","预下载呢？！！！[崩坏3·终焉归始_燃起来了]"
"月光幕","男","四川","86276771","6","良辰美景·不问天","10000","577","","磕，官推cp[脱单doge]"
"不是时常","保密","广东","344375918","6","崩坏3·天穹流星","10000","588","","崩坏宇宙热门知识——布洛妮娅x希儿为什么叫绀海组而不是布希？,绀海组起源于崩三官方漫画《绀海篇》，漫画主要讲述了崩三幼年的布洛妮娅与希儿在西伯利亚的可可利亚孤儿院相遇相知相守相离的故事，而漫画《绀海篇》的名字则是出于漫画中两人的“定情”情节——孤儿院中希儿从未见过海，布洛妮娅说希儿绀蓝的眼瞳就像海一样，并对她许下了一起去看海的约定,值得一提的是，希儿漫画后期确实去看“海”了——看量子之海[崩坏学园2_晚安]"
"东宇-宁夏","男","湖北","443197955","5","","10000","323","","如果有人不看好百合贴贴不建议玩崩坏系列，别为难自己，别辜负岁月，别膈应劳资"
"萧关道","男","河北","352149069","5","","10000","21","","绀海组呢，救一下呀"
"歌秋厥","男","江西","471315721","6","","10000","8","","米哈游希儿大招可以加PV里面的红月亮吗"
"应星我的美强惨老婆","女","加拿大","421527751","5","","10000","9","","1000w助力[兔年]"
"aoeass711","男","重庆","241267508","5","","10000","6","","才入坑两天，是不是希尔要等好久。(つД`)"
"蒙趣嘎嘎厉害","男","江西","605894140","5","","10000","7","","希儿块千万[给心心]"
"偶尔说说旭日","男","广西","121942459","6","","10000","6","","希儿赶紧千万播放啊!!太爱希儿了"
"_猫になりたい_","保密","新疆","564599584","4","","10000","7","","助力一千万"
"渣渣鱼45","保密","广东","3546570632989485","2","","10000","6","","冲千万"
"东京鸡王","男","上海","348973559","6","","10000","45","","我好像注意到了什么，pv里面希儿和布洛妮娅的战术配合是和游戏里的实战流程一样的！,布洛妮娅平a回战技点，希儿战技，布洛妮娅战技拉条，希儿再战技，然后布洛妮娅开大，希儿开大,这真的是……很标准的流程……[doge]"
"SOLA的雨","男","四川","407457125","5","崩坏：星穹铁道","10000","50","","怕有人找不到官服[doge],米家各游戏官网,崩坏星穹铁道：https://sr.mihoyo.com/,崩坏3：https://www.bh3.com/m/,原神：https://ys.mihoyo.com/main/m/,绝区零：https://juequling.mihoyo.com/m/,注意，如果你用安卓各家系统自带的浏览器打开官网，下载安装包的时候可能会跳出各家安卓渠道服的安装包。注意别点错了"
"改名耗费硬币x6","保密","江西","262322223","5","","10000","9","","@崩坏星穹铁道 能不能把希儿pv里面希儿和鸭鸭组合开大招的动画做成游戏内的战斗彩蛋，希儿在有鸭鸭大招buff时触发，或者两人连续开大触发"
"陈言2333","男","宁夏","485879418","4","","10000","9","","@米哈游miHoYo @崩坏星穹铁道   我每天来只为一件事，希儿大招重做，最起码也得和PV一样"
"594天天向上","男","江苏","327548711","5","","10000","81","","我现在就想问一个问题，我没玩过崩坏系列的任何游戏，之前就听说星穹铁道这一作没有这种门槛所以想要玩玩来着，可现在看来却好像不是这样[捂脸]。甚至我还碰到有人跟我说，你连崩坏系列是什么都不知道，还玩星穹铁道，没有那个资格。所以我现在真的想问问，完全没有接触过崩坏系列到底能不能玩这个游戏[笑哭]。"
"伊比利亚の传奇海胆","男","湖南","1303477371","5","","10000","11","","mhy我求你把pv中头部发射后面的那一段当大招动画[大哭]"
"朝歌挽酒__","男","上海","100991824","6","向晚大魔王","10000","19","","希儿的大招动画能不能改成pv这段啊，求求[给心心]，还有就是希望以后能出一些角色的联动语音，比如板鸭拉希儿的时候"
