"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"心动豆鱼","保密","黑龙江","7870051","5","","10000","1801","","冷知识的热知识,这一期最后的虫子是量子、虚数,所以可以用希儿+巡猎的再动做到无限破韧，从而让BOSS在一回合之内死亡。,不过有一个问题，在火系弱点的的虫子出现的时候，有一定概率会优先攻击希儿，需要希儿能够抗住，只要希儿能抗住，后续就可以激情秒杀了（前提是获得巡猎的回能祝福）,低练度阵容推荐,杰/火主+白露/娜塔莎/罗刹+银狼+希儿,需要拿到巡猎的回能祝福和虚无的击破弱点相邻怪物进入同样状态（后续可升级成全体怪物受到破韧伤害）,打的时候在最后一关留下最后三个秘技点，杰/火主  +白露  +银狼，进入只有，银狼/希儿先打已经破韧了一半的小怪，从而起到再动效果，将所有小怪韧性条破除，希儿的大招满了就往小怪身上打，会自爆，然后继续打小怪  小怪全清了之后，boss的生命值已经降到一半，会召唤精英怪物，我个人推荐是直接先灭掉BOSS，最后再管精英怪，否则貌似容易被最终炸死导致全灭"
"两仪大小姐想要我告白","保密","河南","478050643","5","","10000","1292","","新设定交错回响的条件为本命途三个以上，别命途3个以上。,虚无交错为巡猎的林中人，繁育的白夜。,存护交错为虚无的披峰效应，记忆的冷脆现象。,记忆交错为巡猎的雾中风景，毁灭的脸庞，村庄。,巡猎交错为丰饶的火驰星流，欢愉的足逸惊飙。,毁灭交错为存护的次行星带，欢愉的零龄主序。,其他命途我还没解锁。"
"黄油面包夹猫咪","男","陕西","22248077","6","","10000","1511","","太一这个“绝对公正漂亮”是《铁甲小宝》里蜻蜓队长的梗吧？[笑哭]正沉迷于氛围的时候这句话出来给我笑不活了[喜极而泣]"
"哀止于伤丶","保密","广东","2097291010","5","","10000","6","","难度五，已经红温"
"问回秋","男","浙江","6718525","6","","10000","56","","这是一个常驻玩法，不是限时活动，各位要注意保护肝脏。"
"MY-kkler","保密","浙江","578257695","4","","10000","1855","","布响丸辣！"
"鱿鱼炖铁板_","男","上海","4832659","6","早稻叽","10000","38","","这个模拟宇宙dlc是真的好玩 希望隔几个版本出一个模拟宇宙肉鸽dlc好吧[星星眼] 我必狠狠玩！,话说回来[呲牙],之前一堆吵产能的 现在金人巷 模拟宇宙提前开了 ,结果就是没玩几个小时的人 在那里吵肉鸽难的 ,合着崩铁就得挨喷是吧？真就是年轻人第一款肉鸽？,不会花时间慢慢打？不会点技能树？不会看机制？就指望着速通莽过去呗？这玩意也不用天天打刷遗器啊？怎么那么多猴急的？真挺无语的，好好的后日谈版本被一群猴子恶心坏了[尴尬]"
"山海寰宇","保密","四川","436064956","5","崩坏：星穹铁道","10000","15","","确实是挺好玩的模式，有点儿上瘾好家伙。来官号这里赞你一下，穹宝。"
"朔望月Suki","保密","天津","19102371","6","","10000","58","","今天中午花了两小时的时间体验过一遍新宇宙，有感而发,,错综复杂的设定交织着抓人眼球的美术画面，结果构成相当精彩的游戏体验。庞大的世界观如同走马灯一般从我的脑中频频闪过，迷离扑朔的事件贯穿着过程的始与终。这好像一部非同寻常的科幻电影，然而它又有着好电影的通病：看完之后难以回忆情节的细枝末节，只是在不断回味时愈发觉得它的精彩和伟大。尽管知道它的本质皆是虚拟，但它映射在现实世界中的内涵却足以触发人的共情和实感。,,看出了米在这个活动中更加上心了，期待今后会有更加优质的成果"
"可悲的保底","保密","山东","489796879","5","","10000","116","","个人建议大家不要急着打4和5，过了3之后可以暂时住在2里，刷命途的任务，多刷几个任务，拿到一些命途点数把属性叠起来了后面就好打了。,当然4高练度是可以过的，5就不知道了，因为我套杰哥盾的半血C被难度5的第一个精英BOS一个技能秒了，我直接退了[笑哭]（复制的）"
