"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"4399游戏盒","保密","福建","251347544","6","","10000","1922","","[呆]抽完回来了，1命彦卿宝贝"
"冷冽谷的弗雷德","保密","江苏","483439635","5","","10000","6751","","大家怎么没人夸这次新版本的优化呢？？,委托界面升级，还有每日一次领完，副本显示上次挑战次数，事件也给了奖励，战斗结束的标志也变帅了！活动任务更是高贵的传送到点，还不分天开放直接一步到位，还有老活动记录修复[脱单doge]，我直接吹爆好吧，原宝！学学你妹妹，这种小细节多优化优化呀！"
"逢坂大河www","男","辽宁","234765112","6","崩坏：星穹铁道","10000","4864","","我可怜的银狼啊，因为76个游戏账号都被黑塔冻结了，急的又哭又闹呜呜呜好可怜啊"
"jcxsq","保密","加拿大","188887377","6","","10000","4606","","银狼传说任务,螺丝咕姆邀约"
"无吴2001","男","广东","30958728","6","","10000","1673","","这次星穹铁道还有川宝的梗 笑死我了"
"六年买六十六个榴莲","保密","河北","1955211273","5","","10000","1335","","是谁问卷填了改短神君音效吗，十层都成窜稀了，能不能改回来，别负优化啊，还是原来的爽"
"还有一天满十八","保密","江西","37290277","6","星座系列：金牛座","10000","1099","","没了，全没了，真的一点都没留下...太过分了、太过分了！我的专票[大哭][大哭][大哭]"
"悦M光","保密","安徽","630426186","4","","10000","720","","把神君改回来[tv_发怒][tv_发怒][tv_发怒]"
"时间之类","保密","江西","86123717","6","","10000","410","","叽米：我本想大声呵斥她为通缉犯，可她给的实在是太多了"
"yu努力不摆烂","保密","湖南","520009406","5","","10000","310","","迄今为止，每次都歪了，mhy你有什么头绪吗,[微笑]"
"Nutrient_","男","江苏","15607487","6","2020拜年祭（鼠）","10000","238","6","先不说别的  76个账号被封你什么感受[抠鼻][抠鼻][抠鼻][抠鼻]"
"星海教教主","男","安徽","475628668","5","","10000","195","","虽然是宇宙第一天才骇客，但是游戏账号全部被封号了[脱单doge]"
"崩铁崩三原神代肝","男","河南","388322619","5","","10000","174","","数学考砸了，银狼也歪了[大哭][大哭][大哭][大哭][大哭][大哭]"
"小岛灌伤花","保密","浙江","277755928","5","","10000","3521","","一个老富翁把他的三个儿子叫到一个空房间里,“你们谁能把这间房子填满，谁就有资格继承我的遗产。”,大儿子在房间里铺满了稻草,老富翁失望地摇了摇头,二儿子在房间中点了一根蜡烛,富翁指着他身后的影子笑而不语,三儿子说：“我觉得星铁还行。”,顿时来了一堆不明生物，填满了整个房间"
"润天阶","保密","未知","498883545","5","","10000","10636","","黑塔：,救命，铁道这是在玩流汗黄豆的梗吗？哈哈哈哈哈"
"是小影噢","女","湖北","6044047","6","崩坏：星穹铁道","10000","7910","","宝啊，模拟宇宙有bug啊"
"银狼说脆桃好吃","保密","广西","20250297","6","","10000","16","","抽到了！谢谢你星宝！[惊喜][惊喜][惊喜]"
"HLEGETE","保密","澳大利亚","1442869","6","明日方舟音律系列","10000","185","","星铁是懂更新的[doge]"
"繁星染晴天","男","湖北","241246570","5","","10000","19","","[脱单doge]，怎么说！"
"晔晔晔耶耶耶","男","河南","19574521","6","","10000","1501","","一次没歪，谢谢你mhy[呲牙]"
"-Evolution新乔-","男","吉林","317051525","6","约战：精灵再临","10000","24","","出货了 第一发十连出的杰帕德 第二发十连出的银狼 祝大家也都能抽到银狼[2020拜年祭_吸欧气]"
"繆里","保密","福建","2088443","6","","10000","5","","[doge]我直接就是一个拉满"
"圣光大大叔","保密","山东","36417494","6","","10000","20","","星河猎手的顶级骇客 ×,星河猎杀已知的唯一骇客 [脱单doge][doge][脱单doge][doge]"
