"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"枳枳子","保密","山东","323701531","5","","10000","825","","镜流的疯狂是外部导致的，她沉浸在昔日的痛苦中无法自拔，毫无章法的挥剑去伤害每一个接近自己的人。,,而阮梅是由内而外的，她并不扭曲只是相当纯粹，把我想要知道事物的本质这件事贯彻到了极致，她顺着这条道路越走越远，越攀越高，她理所当然的解构，理解，创造，进而顺理成章的走向道路的终极。她并不觉得这有什么大不了的，就像梅花开了又落，就像一颗星球自她手中诞生或毁掉，她的眼中装不进他人无意义的惊叹，没什么欢欣或恶意，她的目光飘忽的落在远方不知道什么地方，她只是在思考，她只是有点好奇，那本质的尽头究竟是怎样一片风景。"
"曦小夜゜","保密","福建","385594816","5","","10000","7405","","在看什么呢？一发10连满命阮梅的小伙子"
"农药","保密","上海","84401","6","","10000","3952","","说点不同的看法把。,很多人说阮梅想成为星神，但我老实说，整个PV里并没有描写阮梅有多想成为星神。,整个PV阮梅一直在说的，就是自己存粹的追求。然后在这个过程中，追求“生命”的“概念”，忽然意识到自己好像可以成为星神。,这个区别非常重要，因为星神大概率不是“想”而成为的。反而，是在纯粹的追求概念的命途过程中，自然而然成为的。,所以这里的阮梅突然意识到自己也许也可以成为星神（再说一遍她从来没想过要成为星神），很可能就是解答了一个开服以来的剧情问题，就是星神究竟是如何诞生的。"
"凤凰真王麻辣鸡丝","男","四川","1580828","6","RNG战队","10000","41","","阮梅这个角色真有意思，外表看起来是柔情似水江南水乡的女子，实际上却是一个理性到可怕的科学家。加上PV里那一场幼年的探险。极度怀疑这里致敬了疯狂山脉，如果说这个猜想成立，我是同意北极熊的说法的，阮梅听懂了所谓的不可名状。对常人来说是疯狂的杂音，对她而言却是智慧的启迪。如果按照这个脉络延续下去，那么角色的设计可能参考了肿胀之女的形象？而肿胀之女在克苏鲁神话体系里是奈亚子（咳咳，删掉）是奈亚小主的化身。其经典形象就是一位穿着旗袍的用锦扇遮面的少女，其背后却是臃肿的食脑怪物。而阮梅的PV里背后也多次出现了巨大星虫的身影。大约算是一个佐证。又根据纯美骑士银枝的剧情，我们知道星穹里的虫子脑虫反而是最小的。那是不是在暗示着，阮梅才是虫群的主人？（我去，刀锋女王？）而我一直好奇一个问题，就是如果阮梅是人类的话，为什么能够听懂克式狂音呢？我不由得想起了另一部经典克苏鲁作品，印斯茅斯的阴霾。如果说阮梅本身就是一个古神呢，她只是拥有人类的外表而已，所以对其他人是疯狂的杂音，对她来说却是简单的家乡语言，所以她能够听懂，理解，并且被启迪。正如印斯茅斯里的小伙回归家乡成为鱼人一样。阮梅可能也是同样的想法，因为如果只是成为星神的话，没必要打码吧？而制作组恰恰要打码的原因，可能也是在暗示，阮梅想成为星神，可能只是外人浅薄的理解或者解释其他的人听的一个理由。而阮梅真实的想法是回归古神，或者说成为类似古神一样的存在。如果这样想，那么开头写给父母的信又多了一层含义，如果她真的是一名古神子嗣，那她的父母会是谁呢？虽说古神没有性别的，但从PV明显致敬疯狂山脉以及本身形象酷似肿胀之女来说，阮梅的父母大约就是修格斯和奈亚了（这是什么神仙CP，制作组的私糖啊，笑。）我知道写的东西可能怪怪的，但几次PV的感觉，让我有一种极致的理性即是疯狂的感觉。而整个星穹出现的星神里，符合克苏鲁特性的星神，好像还除了繁育之外还真没其他的选择了。而阮梅的pv之中却是出现了大量虫群景象，是不是暗示着她也如繁育星神一样，踏入了半人半虫，如果说半虫是指克苏鲁化的疯狂，那我想那些可爱的小造物也许就是代表着阮梅人性，理性？大约是如此的，毕竟整个两个PV同看多次，用半神来形容阮梅应该是恰当的。"
"反逆の黑羽","保密","江苏","9261177","5","","10000","22","","阮·梅的千星纪游pv显然是neta了疯狂山脉，那个被冰冻起来的怪物看起来更像是修格斯。在COC中，修格斯是古老者的奴仆，而古老者可能在一系列奥秘实验中无意间创造了地球上的生命。修格斯同样是古老者的造物，作为无定形的胶质生物，能够转变为任何形态，也有作品认为它就是地球上其它生命的起源，比如我非常推崇的一篇国产克苏鲁小说《黑太岁》。,这样的生物作为阮·梅pv里得neta实在是太合适不过了。这个pv无疑把阮·梅的形象一下子立起来了，非常喜欢这种感觉。"
"呼噜噜的小猪伯","男","吉林","8574381","6","","10000","650","","模拟宇宙是阮梅的大型试验场，实验分以下三阶段：,,第一阶段：解构命途。将完整的命途解构，分成三个等级，金色的核心构成，蓝色的主要分支构成和灰色的细枝构成。后将其打散分布在模拟宇宙的各处。,,第二阶段：枚举融合。由开拓者负责执行，将模拟宇宙中被打散的“命途构成”重新拾起，尝试融合，予以适当的奇物，期望开拓者完成全新命途的构建。,,第三阶段：人造命途。将模拟宇宙中的演算结果在现实中重现，将由阮梅之手，打造全新的命途，诞生第一个由人为创造的星神。"
"燃烧群青","保密","湖南","24067029","6","初音未来13周年","10000","9","","挺喜欢这个人设的，而且阮梅从来都不是想要成为星神吧，她是想研究生命的本质，然后一路顺畅地研究解构攀升，不知不觉甚至到了创造令使的高度，虽然并不算是成功，但这和星神的行为很像，她恍然间似乎洞悉了星神如何诞生这个问题"
"百合百景","保密","上海","698774","6","原神","10000","1151","","直面神话生物-狂气山脉，调查员阮梅，请进行理智意志检定，42/20，检定失败。你失去1d20=20点理智，由于失去了所有理智，你即将进入永久疯狂，但是你仍一次机会。调查员阮梅进行智力检定，1/150，大成功。在直面不属于此世的亵渎怪物的同时，你的理性战胜了恐惧。那不过是个大一点的生物而已，你的意识开始低语，就像理解自己，理解父母，理解步离人和有翼者，甚至，理解星神...调查员阮梅陷入永久疯狂，疯狂症状为：你失去对生命的敬畏，你的理智判定改为使用智力。欢迎来到这边的世界。"
"憨斯季默","男","辽宁","434565836","5","","10000","12","","可能是我们觉得星神高高在上遥不可及，以为阮梅很狂的样子。其实她可能只是觉得总有一天会知道星神的原理本质罢了。"
"众所周知土豆长在树上","男","河南","553862770","5","","10000","1406","","阮梅厨给阮梅写了两首藏字诗，文笔不好，还请见谅。,这个是斜着藏的, 致阮梅,阮琴鸣弦动心魂，,雪梅昂首俟迎春。,逢梅吾喜诉拙论，,唯愿归心诣从本。,远嗅沁芳悦馨芬，,近赏梅洁骨之韧。,朔风揉弦退行人，,白玉乌枝浣烟尘。,（藏字读法为第一行第一个字，第二行第二个字，以此类推。）,还有这个竖着藏的：, 致阮梅,阮咸高悬书著间，,梅兰竹菊皆齐全。,吾赞其物性高洁，,心清方能乐此间。,悦于文墨常读阅，,之乎者也口中言。,人道此子好书卷，,也亦不负茶水缘。,,急急急急急，我现在就要抽阮梅！！！"
"路过的神甫","保密","广东","37930681","4","","10000","126","","表面是一个温婉慷慨的大姐姐，喜欢音乐和甜食，让你忘记了天才俱乐部都没一个是正常人。这个pv用孩童般的视觉与语气说着很恐怖的事情。孩童时面对怪物，不是恐惧，是好奇。成年后培育（操纵）生命，活化星球，但这都是禁忌领域了。最后她野心勃勃染指星神，搞不好是要造神？后背发凉，软妹会搞出什么大事？"
"海洋之水","保密","北京","270414","6","碧蓝航线2020","10000","55","","[doge],你直视了古神,你完全理解了古神的知识，并向古神分享，古神疯了,你决定自己培育个比古神更厉害的"
"颜值的担当全宇宙女神莉雅","保密","河北","36614311","6","","10000","18","","其他角色都没有这感觉，这次中配绝对百分之一百万薄纱了，那种最平静的语气说出最疯狂的狂想的感觉，那种看透宇宙中一切真实的傲气，平淡如水一般的高高在上，这种风格太棒了，真的太棒了"
"星野Seiko","保密","北京","4204656","6","","10000","17","","好震撼 好一个彻头彻尾的疯子……即使培育一颗星球也不足以让她满足 用平静冷淡的语气说最狂妄的话 我太喜欢了"
"王亨利的传奇人生","男","浙江","8015055","6","精灵王","10000","74","","“也许我也可以，成为〖■■〗”我觉得阮梅认为自己成为的不是〖星神〗，而是比〖星神〗更高维度的一个东西，当你可以理解〖星神〗并且看到它的时候，它就已经不是阮梅心中所想的那个〖■■〗了，因为这个东西目前根本不存在——即无法被理解，无法被描述，不受现今已存在的任何物理法则约束的一样东西，因此我们无法看到也无法听到它。但“不存在”并不意味着不可以被创造，阮梅是生命领域最强大的探索者之一，她想做的便是创造这个世界上不存在的事物，在这个东西被阮梅“创造”出来前，我们无法得知它是什么。"
"Rinaa_","男","河北","585101902","5","","10000","392","","阮梅这个人就是软妹外表下藏着一个开头那种大怪兽啊，开头那个怪兽从冰冻中苏醒过来，“阮梅”这个“怪兽”也苏醒了，这全程用平平淡淡的语调去说着一些，普通人想都不敢想的话。“培育星球”“再现不朽”,想起来最近看的骨王小说了，迪米乌哥斯做的那点实验，也是对“生命”的探究......阮梅很美，但这PV有种小恐怖的感觉了。"
"无可言说之","保密","湖北","435079285","5","泠鸢yousa","10000","13","","我觉得阮梅这次的剧情很有意思，关于生命，是理性背景下的粒子与螺旋（被创造的繁育令使），还是感性背景下的阮梅造物（形成了联系着的的微型社会），是强大的力量（概念上的强大也算强大的一种），还是关系的连接（以生物皆有的感情为纽带），情感，生命，本能，族群，创作的态度也值得玩味,生命的本质，是理性的回答，还是灵性的萌发？,又及，阮梅说随着时间我们会逐渐忘记她，这算不算一种巧妙的元叙事,总之，是很有趣很有张力的剧情,看了社区之后,受够了对于阮·梅庸俗的理解和那些无聊的所谓“福利”,不肯尊重阮·梅的形象底色——科学家（行于智识命途的求索者)对于本质及概念的执着，对于人类这一族群社会关系的拒绝（至少不认同作为道德纽带的情感之于生命的意义），视万物如一的态度，寡淡的生活和态度,感性不同于人性，对于造物的感情不该脑补成对于人——同类的情感，意识到感情的存在不同于接受感情"
"斯人伊人","女","北京","3870647","6","拉文克劳","10000","104","","第一次在一个科幻味的作品里看到如此优美的中式场景，也是第一次在如此符合中式美学的作品中感受到科学的美丽，星穹铁道你做的好呀！"
"兰诺德","保密","江苏","604012792","5","","10000","105","","知性，清冷，偏执，自信，一个完美、古典、温婉的大姐姐,但如果阮·梅只有温婉，那就只是一个普普通通的漂亮苏州大姐姐。,但她在追寻和践行生命命途 中的自信气质，探寻宇宙生命奥秘的偏执，以及以凡人之身想成为【星神】的野心，让这个角色的人设更加有魅力了，这时候的她才真正拥有了天才俱乐部成员的风范，也真正表现出了追寻真理的研究者的心态。,这个角色的人设完完全全的被这个PV表现了出来，如果PV之前我能给角色85分，PV之后，我给100分！这是我认为崩铁做的最好的PV！,PS：中间有一段的音乐让我有一种星际穿越的感觉。真的很喜欢。就小阮梅的这个时候。"
"佰拾贰叁","保密","河南","262440248","5","","10000","175","","这次的配音真的震撼到我了,中配：一种世外高人，仿佛在讲述一件很平淡的事的感觉,日配：对于目标有种渴望的感觉,英配：好像再讲编年史，配上bgm感觉很厚重,韩配：听不懂思密达[笑]"
"WYX2023xm","男","湖北","294099923","5","","10000","4715","","阮梅：我卡池来了,真理：我免费来了[妙啊]"
"竹清梅丿","女","广东","97148933","6","希萝Hiiro","10000","6606","","我去 看完我对阮梅感觉背后发凉啊 我总觉得她骨子里非常的疯狂，感觉在她眼里不存在所谓的禁忌，她一直在追求本质，解剖命途，她很可能想了解命途的本质，命途的源头，成为那个“概念”"
"梵低-","男","吉林","1785786581","5","崩坏：星穹铁道","10000","101","5","谁闲着没事把碱基都找到了啊[崩坏：星穹铁道_吃瓜ing]"
