"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","3470","7","个人观点，可轻喷：卡芙卡和刃的cg之所以让大伙觉得看的来劲，是因为卡芙卡和刃的音乐踩点鼓点等刺激玩家神经的节奏感很强，在加上特效过于华丽，所以让人看的很兴奋，就跟你看鬼灭一样，特效配乐已经拉满到让你看的只知道爽，中途一旦节奏慢下来就会很不适应，所以阮梅的cg突兀的平稳和清淡，让有的玩家一时半会受不了，就好比你餐餐都是大鱼大肉，今天突然让你清淡一下胃口一样一时半会适应不了"
"动起来吧马路君","男","湖北","6144957","5","","10000","108","","我是先抽了阮梅才做的任务，这次任务做完真的毛骨悚然，感觉阮梅这个人非常可怕，她的人性已经几乎磨灭掉了，毫无跟她亲近的想法，以至于看到阮梅的造物，都觉得这些东西不过是长相可爱的怪物而已，它的猫猫头与外壳是粘连一体的，初见的时候努力抬头看我结果无法实现，最后Q弹的弹回去，我能理解部分人觉得很可爱，但我当时就感觉有点掉san（后面它们哼的歌也很阴森，恐怖童谣似的）。"
"今天还是没饭吃","保密","广东","28622578","6","三周年恋曲","10000","3208","","你来啦，十连满命的开拓者"
"南宫千婉","女","广东","526143967","5","","10000","43","","阮梅想成神,想，所以去做，没有任何顾虑，更没有人世俗理的纠结，只有最纯粹，最纯粹的思考与探究,在我看来，她才是真正意义上的疯子。,疯狂绝非外在表现的痴颠，纯理性，具备自我内驱完整动力，能够构建独立的“观念”，所行才配得上疯，不然就只是颠,阮·梅确实也具备走向这条道路的资格,我很欣赏她，甚至有些震撼，希望在未来能够看到吧，阮梅的，对生命的追求"
"福宝命中缺我","保密","日本","12093393","6","","10000","15","","虽然不清楚别人抽阮梅的理由是什么 我的理由很简单  在异国的苏州人想家了"
"无敌百夫长","保密","河北","32474399","6","初音未来13周年","10000","93","","研究生命的科学家，研究到最后自然就是不当人了，失去了人性。许多人对此感到意外，但其实这反而很真实。她让我想起了星际争霸里的萨尔那加一族，他们只专心创造生命，不求名不图利也不争权，毫无人性可言，根本无法从人的角度去理解他们。阮梅目前虽远没有达到萨尔那加的高度，但已经初具雏形有那味了。我还是挺吃这种脱离人性的高阶种族俯视宇宙的设定的。但同时我也明白，吃这种设定的人注定不会太多。要是她没有这身好看的皮囊，强度再低点，冷板凳绝对坐地死死的。"
"凡路酮","男","广东","115788","5","绯赤艾莉欧","10000","15","","用诡秘世界观说就是，阮梅已经没有多少人性了，仅靠传统文化作为锚点来维持作为人的认知。"
"三年的昵称被移除","保密","江苏","82630831","6","RNG战队","10000","304","","有些人，看到pv不以燃为主基调，没有战斗的场景，鉴赏能力直接化为0，挺乐的"
"月信风三","男","上海","37765799","6","","10000","22","","阮梅真的没有感情嘛，肯定不是，她自己做实验就已经证明了纯粹理性的生物是无法维持存在的，而控制不住感情也是大多数物种自我毁灭的原因。她大概就是害怕这一点，才把感情压抑隐藏变成如今这个迟钝的样子的。可，研究生命怎么能回避感情这一课题呢?以为可以操纵它或者完全抹去都是错的。"
"一只崇拜会长大人的小杏","保密","贵州","176027674","5","","10000","6","","阮梅的人设是一个很大的突破，与形象背离，与世俗相对，这样的个性才富有魅力，而不是简单的温柔美丽大姐姐，相信以后mhy会带给我们更多这样的角色[脱单doge][脱单doge][给心心]"
