"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小提今天巡林了吗","保密","河北","298737593","5","公主连结可可萝","10000","40970","10","你知道的，我一直是教授的忠实学生,,教授的每次课我都到场，他的批注我都认真阅读修正，期末教学反馈也都是点的一百分好评，备注从来都是完美，没有缺点。他的课程如此美妙绝伦，引人入胜，课业实践以身作则，手把手教学抱你学会,,至于阮梅教授，哦，祝她的生物研究早日取得突破"
"犬左zl","保密","浙江","278934474","5","","10000","34130","","星铁每次福利真的很有创意，之前银狼送体力，也是和剧情相结合，这次真理医生，也是用符合人设的手法，真的很厉害啊！希望这种惊喜可以保持[脱单doge]"
"吃西瓜的群众大大","男","山西","386774428","5","公主连结凯露","10000","31362","","真理只掌握在少数人手里 ,真理掌握在所有人手里√"
"爱笑的古古","保密","浙江","520850255","5","至尊戒","10000","28872","","知识，与你分享"
"观星家的刺客先生","男","江苏","674574816","5","总之就是非常可爱","10000","25960","","这灼热的真理！！！（发出渊上的声音）"
"长为云中客","男","江苏","661202656","5","崩坏：星穹铁道","10000","24060","","以后深渊排行真理医生将是限定五星主c使用率最低的角色，因为拥有率太高了（使用率等于使用人数除以拥有人数）。这是奇迹的代价，灾厄由拉帝奥教授一人背负，理门"
"染拾柒_Seventeen","保密","四川","434056602","5","","10000","21295","","星穹铁道是一款优秀的游戏，操作简单，风格多样，界面时尚，老少皆宜，如果抽不出我想要的角色一定是我自己的问题，如果刷不到想要的遗物一定是我电脑的问题策划深懂玩家内心与玩家同为一心，是游戏中的豪杰"
"茅与毛菇牛","男","福建","588191887","5","","10000","17316","","我命拉帝奥先生取代废铁博识尊为新智识星神，诸位意下如何？[妙啊]"
"木辛塔","男","山东","1367042828","5","","10000","15878","","星穹铁道是一款优秀的游戏，操作简单，风格多样，界面时尚，老少皆宜，如果抽不出我想要的角色一定是我自己的问题，如果刷不到想要的遗物一定是我电脑的问题策划深懂玩家内心与玩家同为一心，星铁是游戏中的豪杰"
"想干些大事","男","湖北","356330110","5","","10000","14317","","你知道的，真理医生是我兄弟，我们曾一起在忘却之庭作战，同时托帕那家伙也强的不可思议，我认为我们三组队一定会有很好的化学反应！有时做出决定真的很艰难，但是1.6版本我决定把天赋带到星穹铁道，与真里托帕一起兄弟星铁！至于娜维娅，我祝她在枫丹新版本好运！"
