"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"白毛红瞳妮妮姆","女","河南","100406545","6","乐正绫五周年生日","10000","4744","","虫群，摧毁了我们的配队，我高贵的角色们沦为难民，但是虫群无法摧毁我们的意志，因为神圣的穷观阵，连接着我们每一个人，让我们在绝望中团结一致，今天我们要夺回我们的配队，夺回我们的自动战斗。"
"时间之类","保密","江西","86123717","6","","10000","27724","","景元：本人景元，自即日起卸下罗浮将军之位，传给太卜司——青雀,符玄：卧槽，还好是梦,青雀：卧槽，还好是梦"
"我太正经了怎么办","男","上海","2122911627","5","","10000","8588","","符玄代行将军之职后，云骑军更擅长打伏击战了。毕竟符玄带的兵是“符兵”（伏兵）[doge]"
"落鸢惜春","保密","河北","12646220","6","崩坏：星穹铁道","10000","6729","","符玄:大衍穷观捉青雀,青雀:帮帮我叽米先生[doge]"
"磁爆步兵54","男","浙江","3443416","6","","10000","6580","","其实符玄是第三次丰饶民战争的幕后功臣啊,利用罗浮上的天文望远镜给帝弓司命出没过的星云打求救信号，才求来帝弓发射的扭转局势的光矢，仙舟联盟才能惨胜,（出自符玄80级的角色故事）"
"民国豌豆","保密","湖南","484465441","5","","10000","6546","","符玄：当将军实在太辛苦了。[大哭],爷：如果你觉得辛苦 我可以替你坐两天这位置。,符玄：不要。[妙啊]"
"雪辰沙","保密","广东","352751792","5","","10000","6337","","符家，崩坏大世家之一，可谓是人才济济，单单说符家第一人，type-a，符华，便是一人可开天的存在。而type-c，符玄，年轻一辈第一人，实力也不容小觑。[doge]"
"吃甜軟糖兒1_30-1-0","保密","广东","447385326","6","2021拜年纪活动专属","10000","5346","","符玄因为身高不够要爬梯子拿东西，不小心从梯子上摔了下来。,（这句话想不出该由谁来说[tv_目瞪口呆]）：快去扶符玄大人。,景元：扶（符）符玄……类似的格式我还知道仙舟美食貘貘卷,（为什么要让景元来说冷笑话，因为他和赛诺同英配）[doge]"
"猫若琉璃","男","湖北","1079648977","5","","10000","4268","","其实大多数人对符玄一开始的定位就错了，认为符玄是普通生存，其实符玄提的是生存的上限，打个比方，一个小怪，主c3000血，最多打五百，所以符玄转五十伤害也没用，随便一个奶就拉回来了，基本没用，但是打强精英呢？不知道你们有没有发现，现在怪的伤害越来越高，主c才3000血，怪物一个群体aoe每人5000，主c满血直接去世，这个时候要奶妈有什么用？你是能套2000的盾还是能像白露一样复活队友，但是有符玄呢？伤害转移给符玄，而且符玄血高又能回，打到主c身上一千几伤害，奶妈就可以救了，不然直接抬走整个队伍，所以说符玄不打低端局[OK][OK]"
"龘齉齾爩龗灪龖爨癵籱","保密","黑龙江","83545538","6","#EveOneCat!","10000","3779","","哇！是虽然身高不济，但能耐却是顶天的Type-C大人,[星星眼]"
"有生之年能看到吗","男","安徽","315622780","5","","10000","3563","","天塌了有太卜大人顶着，其他人趴着[妙啊]"
"微风之星Augenstern","男","山东","470070102","5","","10000","2322","","符玄、纳西妲、可莉有着一个共同的本体,那就是——斯露莎，因为斯露莎是花玲（花灵）[脱单doge][脱单doge]"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","1622","7","说句题外话，感觉跟道有关系的，为什么都感觉有点摆烂了，但是没完全摆，就是显得看起来懒散，实际上做事能力不比任何人弱，不论是符玄，还是符华，还是罗刹甚至丹恒，都让我感觉他们都蛮看破红尘的，虽然看起来和王也道长一样有点摆烂，但干起事情来却比谁都靠谱和值得依靠，倒是像刃，彦卿，这种看起来虽然很稳重，但是性子感觉显得有点急，和闻人羽悬，马仙洪都是看起来很靠谱，实际上让我感觉他们巴不得打一架不打不相识[笑哭]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","1443","","bgm 星与你消失之日 一放,十连就出了，哈哈哈哈哈哈[doge]"
"可莉","女","山东","17664283","6","可莉火花","10000","868","3","可莉来代抽！！[Cat2_Boom!]"
"游艇上的怪盗基德","男","广东","22970949","6","原神","10000","836","","符玄来！符玄从四面八方来！魂兮归来！魂兮归来！啊啊...符玄！啊啊.....魂兮归来！（做法）（跳大神）（围炉转圈）（上香）（做法）（做法）（念咒）（旋转）（摇铃）（跳大神）（低声吟唱）（摇铃）（甩旗）（点火）（做法）（摇铃）（念咒）符玄来    ....符玄四面八方来....    ...啊啊...         ....符玄铺天盖地来....     ....符玄时时刻刻来....  啊啊....  "
"钰崖","男","新疆","443082339","5","碧蓝之海","10000","542","","不知道这个游戏怎么回事，我小保底就没中过，为了符玄，我小青龙都没有抽，看着一点一滴的星琼，我攒到了90抽外加上个池子的70抽，没话说，又歪了，克拉拉，78抽大保底出了符玄，但是就是一点都高兴不起来[墨镜][墨镜][墨镜]给非洲人一条活路吧"
"民国豌豆","保密","湖南","484465441","5","","10000","345","","符玄和景元他们带兵打仗 是不是开着船直接撞过去跳帮的？[doge]"
"Iki_千色音律","保密","广东","1364213627","4","七海演唱会","10000","137","","在？星穹研习会第三期什么时候发？急急急急急急(>﹏<)"
"珞零辰","男","河北","630738146","5","2021拜年纪","10000","87","","起开让我来[脱单doge],符玄来！符玄来！符玄从四面八方来！魂兮归来！魂兮归来！啊啊...符玄！啊啊.....魂兮归来！（做法）（跳大神）（围炉转圈）（上香）（做法）（做法）（念咒）（旋转）（摇铃）（跳大神）（低声吟唱）（摇铃）（甩旗）（点火）（做法）（摇铃）（念咒）符玄来    ....符玄四面八方来....    ...啊啊...         ....符玄铺天盖地来....     ....符玄时时刻刻来....  啊啊啊啊啊...."
"全自动烟花发射机","保密","北京","687942240","5","","10000","295","","符玄大概会是崩铁里少数有《神环》结构的角色了[喜极而泣]（就像崩三里的mei）"
"清风anika","女","辽宁","437937884","5","","10000","1696","","中午好，朋友们"
"那菈兰百梨伽","男","山东","1514064765","4","","10000","14","","mhy：我们要给一个角色出以她为主角的剧情,符玄：没本座事,mhy：她地位极高，德高望重,符玄：哦？,mhy：她出自崩坏宇宙，实力顶天,符玄：哈？,mhy：她姓符，而且某些意义上有些傲娇,符玄：难道是本座？,mhy：最重要的是，她是平板,符玄：虽说这话不中听，但就是本……,符华：没错，是我,,[脱单doge][脱单doge][脱单doge]"
"柑橘味柚子呢","保密","北京","508855587","5","","10000","11","","三只小玄,→进入三只符玄的房间,→人不能跟符玄一般见识"
"并没有什么特长","男","河北","12522541","6","天依游学记·歌行","10000","7","5","夸奖一下，最近的每日任务刷出来的漂流瓶任务，放生茶叶和矿泉水的[脱单doge]这才是每日任务，隔壁那一天到晚死任务什么护送热气球，这本小说真厉害，就没完没了的做这些，一点都不更新实时热点，还得是星铁，看好干翻隔壁，星铁都很用心在做游戏，而不是在做让你上班的工具"
"圣之hero","保密","湖北","33694161","6","","10000","9","","虫群，摧毁了我们的配队，我高贵的角色们沦为难民，但是虫群无法摧毁我们的意志，因为神圣的穷观阵，连接着我们每一个人，让我们在绝望中团结一致，今天我们要夺回我们的配队，夺回我们的自动战斗。"
