"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"夢の缘","保密","福建","178402336","6","挚爱花海","10000","19025","","感谢UP，我本来还有800年寿命，看完up的视频当场就变了魔阴身，直接少走了800年弯路，愿慈怀药王保佑你，丰门"
"蕾铠","男","广西","484335","6","","10000","937","","饮料：洞天隐月苍龙濯世,炸鸡：炎枪，冲锋,送餐：帮帮我，肯德基爷爷,外卖：随蝴蝶一起消散吧，旧日的幻影,外卖2：试探就到此为止了，万剑，天来,宣传：此番美景我虽求而不得，却能邀诸位共赏,饮料2：就让你们看看，这葫芦里卖的是什么药"
"肯德基","保密","上海","275338136","6","","10000","18200","","#崩坏星穹铁道# #星穹铁道肯德基# #崩铁 帮帮我肯德基爷爷#  开拓者一定都学会了帕[脱单doge]"
"破坏领主","男","江西","148172","6","","10000","6","","这边的美食指南和隔壁的完全不一样啊[脱单doge][脱单doge][脱单doge]"
"我即是无双","男","陕西","449240542","5","","10000","3237","","我到底是犯了什么病才会相信星穹铁道真的想教会我做饭"
"琉金流星","男","上海","525981799","5","原神","10000","733","","右下角,《请勿模仿》,《这个可以模仿》"
"咖啡巫OMO","保密","未知","258944923","6","","10000","14","","第一眼：太抽象了[尴尬],看了眼id：是星铁能整出来的活[鼓掌]"
"乖璃_","男","山东","10697165","6","","10000","7","","0基础也能做的肯德基冰激凌,冰雪铸成此志，永不终结"
"大小曦-","保密","上海","515851737","4","","10000","9","","[脱单doge]"
"网络里仅有抽象","男","江苏","496273773","5","","10000","2310","","谢谢你，买了一杯饮料，现在我们村在抗洪[脸红]"
"六月里的微笑","保密","河南","442441242","3","","10000","5","","联动的店再多几个又能怎样！本来肯德基离我家就远，联动的店离我家更远！[大哭]"
"不愿透露姓名的软某人","保密","江苏","36439175","6","","10000","6","","看完这个视频表面我还活着，其实走了有一会了_(:з」∠)_"
"canhead罐头","男","四川","13490355","6","","10000","7","","二命小龙人是不是可以第二杯半价？[妙啊]"
"玫瑰茄泡水不好喝","保密","山东","13342797","5","","10000","4","","该说不说，史瓦罗大佬的大衣真帅啊,感觉适合帅老头冬季出街（在说什么）"
"我想有只曼基康","保密","云南","34367628","6","星座系列：金牛座","10000","18","","好家伙，我这里万达商场门口，左边肯德基，右边必胜客，必胜客原神的角色海报还贴在窗户上，不知道肯德基会不会贴星铁的[笑哭]不知道的还以为来到米哈游办公楼了"
"koykos","保密","河南","355789712","5","","10000","17152","","在肯德基上班，已经绝望了，22号后厨排班上午只有我一个人[大哭]店长压根没意识到事情的严重性"
"我曾经也是个舰长啊","男","辽宁","434829215","5","崩坏：星穹铁道","10000","6","","不知道大家有没有注意到，肯德基爷爷在跑动的时候那个男生的头发是会随着方向变的，可能大概是想表达肯德基爷爷速度很快之类的吧，不得不说mhy真是细节狂魔"
"纸片猫猫特调","保密","山东","15129235","5","","10000","8","","非常好炸鸡，这使我的脸庞烧糊,这视频的运镜演员站位和配乐使我相信应该致敬了这个视频【三秒日式炸蝦教學-哔哩哔哩】 https://b23.tv/QjNKZv9,原视频是非常好作品，美味炸虾使人心动"
