"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"L3-猛汉猎人","男","河南","392979","6","","10000","6603","","克拉拉：今天就让你们知道什么叫""光脚的不怕穿鞋的"",,[委屈]帮帮我史瓦罗先生,[拥抱][加油]"
"Tamayura玉响","男","上海","13509550","6","","10000","12812","","我很好奇你们判定角色五星的标准是什么，像是黑塔这种逆天设定的角色，竟然只是四星，相比这下，希儿就只是地火组织的一个精英成员，却是五星[笑哭],,（黑塔的设定，天才俱乐部83号，智识星神的令使，湛蓝星智商最高的人类，发明了返老还童的方法并且成功返老还童，十九次从毁灭中拯救所在星球，两次拜谒星神）"
"爱们66","男","湖南","1529994042","5","","10000","3934","7","初遇克拉拉：有点失望，不过能玩,初用克拉拉：感觉还不错诶，反击伤害也不低，也没这么弱诶,模拟走欢愉：爱上克拉拉"
"猛男立花","保密","中国香港","3804286","6","","10000","4783","","希望大招能有更多的語音 然後隨機播放！！！！"
"风莱壹","保密","福建","37066142","6","","10000","19449","","有份文本是关于克拉拉保护协会的，其中一条就是不要企图通过与史瓦罗结拜/结婚/收养的方式接近克拉拉[doge]"
"元yyyyyyy","男","河南","352404795","6","","10000","10776","","克拉拉大招语音应该是那种很紧急情况才喊出来的，实际战斗中总是在喊，感觉有些违和感，希望能再加一些别的大招语音，或适当修改一下[笑哭]"
"是小离啦","男","四川","694064894","5","2233夏日冰品","10000","4382","2","克拉拉:“巴萨卡！”,史瓦罗:“协议三，保护铁驭！”,[脱单doge]"
"撒西布荔","保密","广东","363437508","6","","10000","5266","","新手池出了克拉拉，常驻池出了无可取代的东西，而我，是真正的史瓦罗先生[崩坏3·光辉矢愿_比心]"
"爱思考的卡哭","男","上海","12206970","6","","10000","68","","“帮帮我，史瓦罗先生”,“啊”,“离开克拉拉”,“呀”,“离开克拉拉”,“好疼”,“离开克拉拉”,“该吃药了”,“谢谢你，克拉拉会记得你的”,“帮帮我，史瓦罗先生”..."
"爱养生的羊崽","保密","浙江","32428389","5","春原庄的管理人小姐","10000","60","","发现米忽悠真的很细诶！,希尔、克拉拉用的都是游戏里地下城区的BGM，而布洛妮娅就是地上城区的BGM。,不过，虽然表面上是两首曲子，但仔细听，地上其实是“地下城区BGM的变调”。就像是两个派系看似对立，但实际上还是一体的，在第一章解决内忧外患以后，两派就一起联手复建城市了。"
"取啥名好咩","保密","广东","3493117237922736","3","","10000","16","","这几天节奏挺多，而且都是纯主观方面进行带节奏的。,好不好玩就是一个纯主观的命题，不存在客观，可惜某些人喜欢代表别人说不好玩，制造搞笑的舆论，简直和原神开服的节奏一模一样，没事，一年后流水会证明一切[脱单doge],主观的东西，再怎么打舆论战，也没什么用，每天高强度在社区对别人说铁道不好玩，只能让自己心里得到满足，真要是能通过好不好玩这种纯主观的命题让一个暴死的话，原神还能活到现在？[吃瓜]"
"Zero-凌灵零","男","河北","260536085","6","","10000","194","7","⒈星核又被称为（）（四个字）,⒉星核猎手的领导者是？,⒊男性和女性的开拓者原名分别为？,⒋黑塔空间站是谁出钱建设的？,⒌佩佩是谁的宠物？,⒍在虚拟宇宙中，第一个与你见面的星神是？,⒎在剧情中出现的走马灯数是？,⒏定分枪（奇物）为帕姆打了多少分？,⒐姬子现在喝的咖啡是手磨的还是速溶的？,⒑有一种生物，偶遇他的旅行者将其视为吉兆，那么这个生物的三个弱点属性是什么？,没什么意思，就是单纯问问你对剧情的熟悉度。"
"成为up主这个号就销","女","新疆","1306152181","5","","10000","18","","克拉拉和史瓦罗真的太棒啦!!!!抱歉我的想法可能真的很奇怪但是，这种两者之间的情感产生出的亲情、甚至说胜过亲情的感觉真的喜欢死了[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇],PS:以下内容都是我主观想法，可能有些是不能接受的，请确认要看的话再看!看完如果觉得我是怪人的话，请不要骂我拜托了!![跪了],想看同人作者产出这种粮，感觉无论是哪一方面的感情似乎都很棒，想多看看史拉拉和史瓦罗的日常!!(但一般写家人向的话会更好一点，感觉如果情节写的不好写其他的情感估计写出来就会体现不出克拉拉和史瓦罗之间的情感了，反而按家人向的来写更好贴合他们之间的情感，感觉就没那么容易ooc),就怎么说呢，明明在外人面前是冰冷的机械，但却在克拉拉面前露出柔软的一面，伤害克拉拉的人就暗暗记下大力报复，对克拉拉好的人也会对他们好，感觉做这些事情都是围绕着克拉拉来作为行为基础，感觉这些内容画成小日常就美味死了嘎啊——,(嘿嘿嘿感觉如果有本子向的产出也很好，克拉拉产生了生理欲求不知所措去寻找史瓦罗帮忙，史瓦罗笨拙的根据储存的一些有关这部分的信息用机械手指帮助克拉拉什么的，明明是机械但却在与克拉拉的相处中产生了超脱于机械的思维和情感，甚至出现了明明不应该出现在机械上的行为，这种说不清的、晦暗的不明的“异常”，成为了史瓦罗信息库中最高的机密，吸溜真是太美味了，好涩哦(但似乎没什么人和我的想法一致太可惜了(悲)"
