"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"雨亦晴sama","男","江苏","11715812","6","","10000","31449","","镜流教了三个人，一个人继承了她的冰，一个人继承了她的毁灭，还有一个人，继承了她的白毛[doge]"
"艾斯特瑞尔德","保密","浙江","12565591","6","","10000","17184","","今天是世界精神卫生日，请大家给这位魔芋爽老人多一点理解多一点关心。[微笑][微笑][脱单doge]"
"乌乌不知道","保密","辽宁","3537109791017413","3","","10000","15122","","祝所有看见这段话的人，镜流不歪，提前出金，双金连金！！！"
"KSCN不想接触酸","女","辽宁","396835778","6","","10000","14365","","镜流镜流，天河揽镜，飞光溯流,谈起云五，我总认为镜流是几人中不易解读的角色。其他人的故事在当前都有迹可循地展现在玩家眼前，而镜流，自飞光一战后，她暂且脱离了人们的视野，罗浮不知她的下落，景元不晓她的去处，玩家目前也不曾了解她游荡在外的七百余年经历为何,距主线约1800年前，仙舟苍城被魔星吞噬，镜流被救后加入云骑军，这是她第一次挥剑，为了自己能够活下去，或许也为了坠毁的故乡，她开始在战场上学习杀敌，了解剑的意义；意气风发的青年时期，我猜她应是以剑首之位为指向精进剑艺，哪怕随时心存死志，但也不曾懈怠、沉心研习；最为辉煌的云五时期，她遇到了几位挚友，儿时家乡被毁，了无归处，在战场上成长、学习、扬名，他们对镜流的影响不会小，人后的温情和真心有了寄托，她会在酒后豪言誓要斩落天上星斗，也找到了活下去的理由；而现在，经历波折身陷魔阴，她摒弃一切，以此身为剑，追求剑艺的极致,分析角色要看心路历程，这也恰恰是镜流最不好分析的地方。在剧情角度看来，她从始至终没有完全舍弃什么。魔阴让她记忆模糊，可那不是失忆，她认得故人，也接受自己曾经的一切。魔阴身的影响是自己的痛苦记忆，一切来自己身，不会把一个人彻底翻新，所以她和过去始终无法彻底割裂，过去会在她身上留下影子"
"无名的某鱼","男","甘肃","8903709","6","","10000","12162","","“你都不知道镜流有多爽”,“有多爽？”,“有魔芋爽！”[doge]"
"灏巛","保密","日本","17392915","6","EveOneCat2","10000","10638","","镜流没有镜流是玩不了的，有镜流的话可以考虑抽一手，没有镜流的话镜流抽了没用"
"-夜雨声繁","男","湖北","77207087","5","","10000","7485","","不管是什么丰饶孽物也好……,碰上如今已超越极限的镜流,它们的收场亦只有两个,非死即伤....,而其他拥有丰饶赐福的敌人又怎樣？,满心疯狂杀戮的家伙被当场斩杀,而在战斗中追求无尽快感的东西被更强悍的力量轰至毫无快感,要用腐化和瘟疫战敌者，被毁灭性的力量弄至毫无还手之力,要用其变化计谋杀敌的家伙也不见能做到什么...,,所以到最后，持续数天的战斗结果就只有一个,,镜流胜了，完全胜了……她就把整个丰饶孽物联军也打败下来！"
"贫僧南北","保密","浙江","24980293","6","","10000","7436","","镜流以身为剑，各位执剑人谨记两步保养方法：,第一步，上油，第二步，擦身。,如此每日保养，可常用常新[doge]"
"花之绘","保密","浙江","4486533","6","","10000","7276","","连标都有特效[星星眼]"
"源起白音","保密","安徽","238759106","6","","10000","6332","","还有一年！！！[星星眼][星星眼][星星眼]"
