"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"你毛掉了哦","男","贵州","350655902","6","","10000","140","","真理医生：干嘛,mhy：我们都是以抽数来算金的,真理医生：有没有搞错啊，让隔壁老外看见还以为我们抽不起呢,mhy：不不不，个个都一样,真理医生：什么叫个个都一样？,就这么一点点够谁抽啊？,再来一个，一人一个。拿走，拿走，把小保底拿走。"
"可乐喝呵可","保密","河北","286808338","3","","10000","2512","","真理就算是杀队友，我都夸他解决队友自动耗点的问题"
"TNSEATU","男","广东","441185197","5","","10000","1979","","崩铁的文案真的又把我震惊到了，从之前的银狼发体力到如今真理免费送，文案组真的是在这个世界观框架做出了让人眼前一亮的福利发放方法，这种新鲜感和互动感比隔壁原宝的角色生日邮件而且大世界找不到人的情况好太多了，不过话虽如此还是希望崩铁把角色生日也给加上，可以多增加一点仪式感吧，崩铁的项目组真的很清楚一款副游应该做成什么样子[鼓掌]"
"粉蓝眼眸","男","江苏","43882999","5","","10000","7","","真理和阮梅都不是大众人设，两人的人设都非常反差。阮梅看似温柔亲切实际上冷漠无比，真理医生看似傲慢毒舌，实际上是几位天才中最有人情味的。这样的人设够丰满我很喜欢，但应该会导致有些人反感。"
"朱颜辞鏡花辞樹","保密","湖北","16001","6","","10000","14","10","崩铁的运营真的有东西。从银狼,三月七再到真理，玩家对游戏公司的感情本身就很复杂，他们把玩家对游戏公司的感谢分流到对角色的感情上，太厉害了。"
"永远只跟党走","男","广东","673955450","5","","10000","22","","今年的TGA我没有参与投票，我只能说我有罪，明年的TGA，我已经知道投哪个游戏了[给心心]"
"第29号宇宙","保密","河南","689975874","5","","10000","161","","我欲废博识尊而立拉帝奥教授为智识星神，诸位意下如何"
"孝羊羊","男","广西","567834891","4","","10000","48","","今天2023.12.15,网易蛋仔派对蛋搭节,网易第五人格春节前瞻,燕云十六声测试直播,腾讯元梦之星盛大开服,米哈游崩3前瞻,然而打破一切的是——,米哈游星穹铁道前瞻"
"对月邀影","男","宁夏","1383846","6","","10000","1348","","奶奶的！奶奶的！,昨天刚调整好情绪，觉得崩铁花的精力太多了，耽误我给学生讲课，忍痛卸载了！,结果它送限定五星！,——我纠结了一下午，还是把它又下载了回来——,嗷，我的真理医生、黑天鹅和花火——"
"三百六差一点","男","云南","61388779","6","","10000","15","","你知道的，我一直是星穹铁道的忠实粉丝,,每次活动我都到场，问卷我都认真填写，反馈也都是一百分好评，备注从来都是完美，没有缺点。战斗设计如此美妙绝伦，剧情引人入胜,,至于原神，哦，祝它在明年TGA上有更好的表现"
