"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","1242","7","不知道为什么，感觉银枝的气质很适合放在魔圆这种卢浮宫的动漫，让人感觉他可以当任何人的守护神和骑士，让我感觉银枝的音乐真的适合找梶浦由记来作曲,又让我觉得银枝很像老电影神话的蒙毅将军，伊德莉拉就是玉漱，只不过银枝比蒙毅还有幽默感,又让我觉得银枝和价值观还有性格以及崇尚的信仰等气质很像坂本，我可以说银枝就算来句：在下银枝，有何贵干，我都觉得不为过，只不过银枝是含蓄点的自信和装b，坂本是放飞自我的自信和装b，但这两个人都有属于自己的美，属于自己理解和信仰的美，会把人的真善美还有道德方面展现最完美和最好的一面，并且尽可能的感染其他人，我可以说坂本加入纯美命途都不为过，我也可以说银枝真的让我看一眼就能想起魔圆，他有巴麻美那种端庄威严却又不失安全感和亲切感，像沙耶香那样子秉持着自己觉得对的事情，把最善良最温柔最自信的一面给其他人，也像杏子那样子崇尚和行走着自己觉得对的路并且不会犹豫，只会对伊德莉拉的憧憬，迷茫和渴望,所以某种意义上来说，我还挺希望银枝能遇到属于自己的“圆神”，目前可以说，伊德莉拉应该就是属于银枝自己的圆神，也真的希望银枝可以一直秉持着自己的纯美价值观，不会像可可利亚被打破自己的梦想和幻想"
"碎梦丶似醉","男","重庆","76747986","6","","10000","1902","","PV的大披风为什么不做进大招动画啊！！！"
"sssayer","保密","黑龙江","1801814","6","","10000","1415","","银枝对开拓者说的那番话，另我发觉自己之前对纯美的理解是多么肤浅，原来他真的不是来搞笑的，纯美的信仰没想到如此深奥，它是寰宇一切真挚纯洁的东西，是无畏无惧，是勇敢，是蓬勃的生命，是友情是亲情，是所有最宝贵的美好，银枝真的是个好人，虽然有点怪怪的，赞美伊德利拉，啊，枝门[打call]"
"阿尼Anikii","男","黑龙江","18049412","6","","10000","71","","每期走近星穹的特邀嘉宾：,希儿：布洛妮娅,景元：符玄,银狼：普罗米修斯“朋友”,罗刹：素裳,刃：卡芙卡,卡芙卡：姬子,丹恒·饮月：三月七,寰宇蝗灾：黑塔,符玄：青雀,静流：景元、彦卿,托帕：账账,藿藿：“尾巴”,银枝：帕姆,无特邀嘉宾：布洛妮娅、克拉拉、瓦尔特、驭空、卢卡、玲可、桂乃芬"
"欢乐の喜剧人","保密","广西","99016136","6","","10000","1257","","中午好[傲娇]"
"★李逍遥★","男","江西","1570875","6","","10000","22","","银枝的bug能不能修复啊？现在唯一有伤害的就是终结技，结果几十万伤害全打到空血小怪身上了，boss还是满血，这还怎么玩啊……[灵魂出窍]"
"s8767112301","保密","江苏","89871078","5","","10000","6","","银枝180能量会鞭尸，大数字好看，但是概率大小怪，伤害损失严重，要抽的三思。。。。"
"king-of-hell","女","广东","492406423","5","拉文克劳","10000","14","","银枝大招鞭尸怎么搞？"
"酷刑恶魔","保密","上海","358226127","5","","10000","13","","银枝bug，试用是弹射，但不是弹射效果"
"真橙的橘","保密","重庆","53583086","5","","10000","4","","银枝鞭尸是极致还是bug？"
"逸小羽","男","上海","203972379","6","格兰芬多","10000","9","","银枝鞭尸到底是bug还是机制麻烦讲一下可以吗，这样子给角色下毒真的败好感[捂脸]"
"Svey-零氪开服崩铁玩家","男","新疆","661721416","4","","10000","9","","修复银枝大招弹射bug"
"某只可爱的萌新","保密","江苏","28226233","6","全职高手","10000","7","","哥，你是真的帅啊"
"超级游戏家","男","湖北","140278406","6","","10000","10","","这次剧情有点拉胯。,姬子全过程没有离开她的真皮沙发，与她对话也是自言自语。老杨为大家提出要么撞巨针蜇虫的胃壁，要么准备跃迁期间抵抗虫群，而姬子给人的感觉就像来看戏的 [疑惑][疑惑]"
"阿阿阿阿画","女","陕西","103555432","5","刺客伍六七","10000","9","","你们的宣发真的很离谱诶！奇怪的经费增加了"
"なんで春日影","保密","陕西","491337486","3","","10000","50","","哈哈哈哈哈哈哈哈冷静点，帕姆别生气了"
"我真的卷不动呀","保密","湖北","284493704","5","","10000","447","","今天到我了[给心心][给心心]"
"-北方的狼王-","男","湖南","352611795","5","","10000","17","","刚发现银枝终结技和试用是描述的不一样，可能会对敌人鞭尸，别说是文本弄错了，那属于欺骗消费者，所以赶快把这个bug修复吧@崩坏星穹铁道"
"A饲","男","河北","22489544","6","","10000","4","","过任务的时候银枝一直在传教让我想起这个图了哈哈哈[笑哭][笑哭]"
"琉璃_格娅","保密","北京","102780343","6","珈乐Carol","10000","3","14","枝银你太美"
"我真的卷不动呀","保密","湖北","284493704","5","","10000","447","","今天到我了[给心心][给心心]"
"拉斐尔的咸鱼","保密","山东","1418967004","4","","10000","15","","寻人启事：寻找一位高贵、美丽的红发骑士。其人谈吐风雅，身手不凡，曾在星穹列车内洒下大量难以清扫的玫瑰花瓣，致使列车长不得不加班大扫除。若能提供此人线索，星穹列车必有重赏。,敬请收看星际和平娱乐特别节目《走近星穹》——「银枝：花瓣去哪儿了？」。,,中文CV：,叽米——刘北辰,帕姆——蒋丽,银枝——梁达伟"
"碎梦丶似醉","男","重庆","76747986","6","","10000","1902","","PV的大披风为什么不做进大招动画啊！！！"
"纸巾盒子精","保密","上海","18194482","6","","10000","5","","为了寒鸦给银枝垫一命了[tv_委屈]"
"Joker__Joestar","男","北京","288923768","6","","10000","939","","出了，红头发，智识[墨镜]"
"Haskiller","男","福建","1087690307","5","","10000","2815","","整个看下来，我对银枝的技能没什么印象，反而对帕姆的反应印象深刻[笑哭]"
"丿倾城丶繁华","男","安徽","502437580","5","明日方舟","10000","5","","银枝：为宇宙中所有的美好而战！,姬子：？！,最后一课.jpg[崩坏3·光辉矢愿_不可以看]"
"1乘1等于01","保密","山东","1142158062","5","","10000","387","","冷知识，上一个失踪下落不明的红头发好人，还是无量塔姬子[doge]"
"诸葛天银","保密","江苏","1963087609","5","","10000","9","","寻人启事：寻找一位高贵、美丽的红发骑士。其人谈吐风雅，身手不凡，曾在星穹列车内洒下大量难以清扫的玫瑰花瓣，致使列车长不得不加班大扫除。若能提供此人线索，星穹列车必有重赏。,敬请收看星际和平娱乐特别节目《走近星穹》——「银枝：花瓣去哪儿了？」。"
"陆林lulin","女","湖南","488603546","5","","10000","4","","伍尔夫元帅介绍陆必行[保卫萝卜_哇][保卫萝卜_哇]"
"ZhaoBoshu","男","山东","3546379664230954","3","","10000","4","","银枝和银狼肯定是小黑子，因为,枝银你太美[脱单doge][脱单doge]"
"繁羽disaster","男","辽宁","89029184","6","崩坏：星穹铁道","10000","4","","帕姆：地板！我的地板！[崩坏：星穹铁道_哭哭][崩坏：星穹铁道_哭哭][崩坏：星穹铁道_哭哭]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","2431","","银狼 银枝,银氏二度组合,他俩一定爱玩游戏 因为 枝 狼[doge]"
"整点薯条吧cheems","保密","上海","1731337818","5","","10000","12","","你就说bug修不修吧"
